Prob094_gatesv,11,20,0.55,R,C,.,.,.,.,.,R,R,.,.,R,R,R,.,R,R,.,.,.
Prob095_review2015_fsmshift,5,20,0.25,R,R,.,R,R,.,R,R,.,R,.,R,R,.,R,R,R,R,R,R
Prob096_review2015_fsmseq,6,20,0.3,R,R,.,R,R,.,R,R,R,R,R,R,.,.,.,.,R,R,R,R
Prob097_mux9to1v,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob098_circuit7,9,20,0.45,R,.,.,.,R,.,R,R,R,R,.,R,R,.,R,R,R,.,.,.
Prob099_m2014_q6c,10,20,0.5,R,.,R,.,R,R,.,R,.,R,R,R,R,.,.,.,.,.,.,R
Prob100_fsm3comb,19,20,0.95,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob101_circuit4,3,20,0.15,R,R,R,R,.,R,R,R,R,R,R,R,R,R,.,R,R,R,.,R
Prob102_circuit3,3,20,0.15,R,.,.,R,R,R,R,R,R,R,R,R,.,R,R,R,R,R,R,R
Prob103_circuit2,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob104_mt2015_muxdff,0,20,0.0,w,R,R,R,R,R,R,R,R,C,C,R,R,R,R,R,R,R,R,R
Prob105_rotate100,9,20,0.45,R,.,.,R,R,.,.,.,R,R,.,.,R,.,.,R,R,R,R,R
Prob106_always_nolatches,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.,.,.,.,.
Prob107_fsm1s,19,20,0.95,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob108_rule90,3,20,0.15,w,R,.,R,R,R,R,.,R,R,R,R,C,R,.,R,C,R,R,C
Prob109_fsm1,18,20,0.9,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.,.
Prob110_fsm2,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob111_fsm2s,19,20,0.95,.,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob112_always_case2,19,20,0.95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R,.
Prob113_2012_q1g,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,n,R
Prob114_bugs_case,19,20,0.95,.,S,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob115_shift18,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob116_m2014_q3,0,20,0.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Prob117_circuit9,3,20,0.15,R,.,R,R,R,R,R,R,R,R,R,R,R,R,R,.,R,R,R,.
Prob118_history_shift,15,20,0.75,.,R,.,.,.,.,.,S,.,.,R,.,.,S,.,R,.,.,.,.
Prob119_fsm3,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob120_fsm3s,20,20,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Prob121_2014_q3bfsm,5,20,0.25,R,R,R,R,R,r,r,R,R,.,r,R,.,.,R,R,.,R,R,.
